NOP,0000000
MOVA,1000000
ADD,0000010
SUB,0000101
AND,0001000
OR,0001001
XOR,0001010
NOT,0001011
ADI,0100010
SBI,0100101
ANI,0101000
ORI,0101001
XRI,0101010
AIU,1000010
SIU,1000101
MOVB,0001100
LSR, 0001101
LSL,0001110
LD,0010000
ST,0100000
JMR,1110000
SLT,11001001
BZ,1100000
BNZ,1001000
JMP,1101000
JML,0110000
